Lionel Andrés Messi Cuccittini
Christian  Dannemann Eriksen
Paul Pogba
Lorenzo Insigne
Kalidou Koulibaly
Virgil van Dijk
Kylian Mbappé
Sergio Leonel Agüero del Castillo
Manuel Neuer
Edinson Roberto Cavani Gómez
Sergio Busquets i Burgos
Thibaut Courtois
Marc-André ter Stegen
Antoine Griezmann
Mohamed  Salah Ghaly
Paulo Bruno Exequiel Dybala
Milan Škriniar
Fernando Luiz Rosa
Gonzalo Gerardo Higuaín
Ivan Rakitic
Jan Vertonghen
Dries Mertens
Marcelo Vieira da Silva Júnior
Toby Alderweireld
Jordi Alba Ramos
Thiago Alcântara do Nascimento
Ciro Immobile
Keylor Navas
Francisco Román Alarcón Suárez
James David Rodríguez Rubio
Carlos Henrique Venancio Casimiro
Mauro Emanuel Icardi Rivero
Kepa Arrizabalaga
Hakim Ziyech
Fábio Henrique Tavares
Anthony Martial
Timo Werner
Niklas Süle
Bruno Miguel Borges Fernandes
Alex Nicolao Telles
José María Giménez de Vargas
Nabil Fekir
Davinson Sánchez
Marco Asensio Willemsen
Ousmane Dembélé
Andrés Iniesta Luján
Zlatan Ibrahimovic
Luiz Frello Filho Jorge
Edin Višca
Serge Gnabry
Mateo Kovacic
William Silva de Carvalho
Felipe Augusto de Almeida Monteiro
Yannick Ferreira Carrasco
Lucas Vázquez Iglesias
Quincy Anton Promes
Leon Goretzka
Adrien Rabiot
Alessio Romagnoli
João Pedro Cavaco Cancelo
Anderson Souza Conceição
Kingsley Coman
Thomas Lemar
Jonathan Tah
Matteo Politano
Clément Lenglet
Pau López Sabata
Hirving Rodrigo Lozano Bahena
Malcom Filipe Silva de Oliveira
Lucas Torreira Di Pascua
Gonçalo Manuel Ganchinho Guedes
Giovani Lo Celso
Fabián Ruiz Peña
Frenkie de Jong
Raphael William Anjos Rochedo
Juan Everton Mestres de Mesquita
Rosberto J. Dourado Santos
Arthur Henrique Ramos Oliveira Melo
Rodrigo Hernández Cascante
Marco Parolo
Max Kruse
Jordan Brian Henderson
Osvaldo Nicolás Fabián Gaitán
Marko Arnautovic
Sebastian Giovinco
Gylfi Þór Sigurðsson
Giuliano Victor de Paula
Péter Gulácsi
Luiz Gustavo Dias
Kieran Trippier
Aaron Ramsey
Mario  Barwuah Balotelli
Marlos Romero Bonfim
Taison Barcellos Freda
Giacomo Bonaventura
Geoffrey Kondogbia
Jérôme Roussillon
Simone Zaza
Šime Vrsaljko
Christoph Kramer
Benjamin Mendy
Marcel Sabitzer
Matija Nastasic
Alassane Plea
Matthias Ginter
Gerard Moreno Balagueró
Abdoulaye Doucouré
Raphaël Guerreiro
Ricardo Barbosa Pereira
Samuel Castillejo Azuaga
Julian Brandt
Nicolas Pépé
Steven Bergwijn
André Onana
Fabián Balbuena
André Miguel Valente da Silva
Mikel Oyarzabal Ugarte
Everton Jorge Andrade Zanon
Welington Kauê Dano Nascimento
Richarlison de Andrade
Álvaro Odriozola Arzalluz
Carlos Soler Barragán
Houssem Aouar
Tanguy NDombèlé Alvaro
Maximiliano Gómez
Joaquín Sánchez Rodríguez
Jérémy Mathieu
Joël Andre Job Matip
Serge Aurier
Josuha Guilavogui
Alex Oxlade-Chamberlain
Mathew Ryan
Vincent Paté Aboubakar
Luis Fernando Muriel Fruto
Domagoj Vida
Ibai Gómez Pérez
Cristian Tello Herrera
Ismaily Gonçalves dos S.
Aïssa Mandi
Anton Ciprian Tataru?anu
Jeison Fabián Murillo Cerón
Eric Dier
Jack Butland
Stefano Sorrentino
Wayne Mark Rooney
Miguel Ángel Moyá Rumbo
Lisandro López
Javier Alejandro Mascherano
Raffael Caetano de Araújo
Diego López Rodríguez
Juan Francisco Torres Belén
Igor Denisov
Igor Akinfeev
André-Pierre Gignac
Andreas Granqvist
Manuel Henrique Tavares Fernandes
Dante Bonfim da Costa Santos
Loïc Perrin
Borja Valero Iglesias
Adnan Januzaj
Jonas Hector
Moanes Dabour
Óliver Torres Muñoz
Yassine Bounou
Jonas Hofmann
Otávio Edmilson da Silva Monteiro
Jonathan Castro Otto
Leander Dendoncker
Roman Zobnin
Ricardo Jorge da Luz Horta
Thiago Henrique Mendes Ribeiro
Jefferson Andrés Lerma Solís
Jean-Philippe Gbamin
Iván Marcone
Darío Benedetto
Marwin Hitz
Nathaniel Edwin Clyne
Adem Ljajic
Johann  Berg Guðmunds­son
Elkeson de Oliveira Cardoso
Enrique García Martínez
Sergio Escudero Palomo
Iago Herrerín Buisán
Víctor Ruíz Torre
Gary Alexis Medel Soto
Younès Belhanda
Hugo Mallo Novegil
Borja García Freire
Wahbi Khazri
Phil Jones
Alfreð Finnbogason
Vinícius José de Oliveira Júnior
Héctor Junior Firpo Adamés
Emre Belözoglu
Fernando José Torres Sanz
Bastian Schweinsteiger
Burak Yilmaz
Mario Gómez García
Ashley Young
Ryan Guno Babel
Benoît Costil
Salomon Armand Magloire Kalou
Ezequiel Iván Lavezzi
Hatem Ben Arfa
Ben Foster
Tom Heaton
Charles Dias De Oliveira
Gary Cahill
Alex Iwobi
Ruben Loftus-Cheek
Alexandr Selikhov
Johan Andrés Mojica Palacio
Wílmar Enrique Barrios Terán
Carlos Roberto Izquierdoz
Walter Benítez
Nikola Maksimovic
Aleksandar Mitrovic
Marco Sportiello
Ander Capa Rodríguez
Marcelo Augusto Ferreira Teixeira
Youri Tielemans
Stanislav Lobotka
Maximilian Philipp
Léo Dubois
Lewis Dunk
Christopher Schindler
Yevhen Konoplyanka
Pedro Filipe Teodósio Mendes
Riccardo Saponara
Layvin Kurzawa
Martin Hinteregger
Danny  Vieira da Costa
Fernando Lucas Martins
Willy Boly
Alexander Schwolow
Gregoire Defrel
Álvaro González Soberón
Leonardo Bittencourt
André Martín Carrillo Díaz
Mohamed Elyounoussi
Orestis Karnezis
Óscar de Marcos Arana
Rémy Cabella
Joe Hart
José Manuel Jurado Marín
Elías Hernán Hernández Jacuinde
Daniel Ginczek
Lucas Pérez Martínez
Jefferson Agustín Farfán Guadalupe
Asmir Begovic
Vitorino Hilton da Silva
Julian Baumgartlinger
Esteban Félix Granero Molina
Zlatko Junuzovic
Victor Moses
Mathieu Debuchy
Guillermo Alfonso Maripán Loaysa
Iván Cuéllar Sacristán
Fabian Johnson
Aarón Martín Caricol
Gastón Rodrigo Pereiro López
Benjamin Moukandjo Bilé
Martin Harnik
James  Ward-Prowse
Romain Alessandrini
Manuel Alejandro García Sánchez
Michail Antonio
Adrien Sebastian Perruchet Silva
Steve Cook
Ben Mee
Adriano Correia Claro
Jeremain Lens
José Salomón Rondón Giménez
Andreas Hugo Hoelgebaum Pereira
Vedad Ibiševic
Lucas Ocampos
Nicolai Müller
Simão Alvin Acunha Bardini
Jonathan Calleri
Alireza Jahanbakhsh
Aleksandar Prijovic
Fabricio Martín Agosto Ramírez
Mohamed Elneny
Jorge Meré Pérez
Wilson Bruno Naval Costa Eduardo
Alejandro Remiro Gargallo
Teófilo Gutiérrez
Andriy Pyatov
Diego Javier Llorente Ríos
Ignazio Abate
Thomas Vermaelen
Niclas Füllkrug
Pedro  Mba Obiang Avomo
Wallace Fortuna dos Santos
Jorge Djaniny  Tavares Semedo
Roberto Jiménez Gago
Serdar Tasçi
Lasse Schøne
Jermain  Defoe
Volkan Babacan
Odion Jude Ighalo
André Schürrle
Ellyes Skhiri
Waldemar Anton
Rodrigo Sebastián Palacio
Kevin Lasagna
Darío Cvitanich
Sebastian De Maio
Simon Terodde
Jonathan  de Guzmán
Renato Civelli
Pablo Maffeo Becerra
Cédric Ricardo Alves Soares
Kyriakos Papadopoulos
Alexander Szymanowski
Juraj Kucka
Phil Jagielka
Marco Benassi
Pontus Jansson
Bernardo José Espinosa Zúñiga
José Pedro Malheiro de Sá
Matz Sels
Yuri Berchiche Izeta
Rafael Santos Borré
João Paulo Dias Fernandes
Cristiano Piccini
Benjamin André
Antonio Barragán Fernández
Mbwana Ally Samatta
Issa Diop
Matthew Lowton
Theo Bernard François Hernández
Juan Pedro Ramírez López
Kenny Tete
Blerim Džemaili
André Filipe Brás André
Mikel Balenziaga Oruesagasti
Valon Behrami
Diego Antonio Reyes Rosales
Caiuby Francisco da Silva
Seydou Doumbia
João Félix Sequeira
Lisandro López
Mario Suárez Mata
Jonas Lössl
Gonzalo Castro Randon
Matt Phillips
Gabriel Boschilia
??
Nicolás Blandi
Lovre Kalinic
Federico Fernández
Jackson Martínez
Emerson Palmieri dos Santos
Rômulo  Souza Orestes Caldeira
Christian Benteke Liolo
Milot Rashica
Leighton Baines
Mark Noble
Filip Benkovic
Cristian Miguel Riveros Núñez
M'Baye Babacar Niang
Davide Santon
Ivan Ordets
Francisco Geraldes
Robert Snodgrass
Vitor Hugo Franchescoli de Souza
Mario Pašalic
Fabio Borini
