Original Name,Player,Wikipedia,Image URL
Toby Alderweireld,Toby Alderweireld,https://en.wikipedia.org/wiki/Toby_Alderweireld,//upload.wikimedia.org/wikipedia/commons/thumb/9/98/2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3693_by_Stepro_%28cropped%29.jpg/220px-2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3693_by_Stepro_%28cropped%29.jpg
Jordi Alba Ramos,Jordi Alba,https://en.wikipedia.org/wiki/Jordi_Alba,//upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Russia-Spain_2017_%2811%29.jpg/220px-Russia-Spain_2017_%2811%29.jpg
Thiago Alcântara do Nascimento,Thiago Alcântara,https://en.wikipedia.org/wiki/Thiago_Alc%C3%A2ntara,//upload.wikimedia.org/wikipedia/commons/thumb/b/bc/UEFA_EURO_qualifiers_Sweden_vs_Spain_20191015_Thiago_Alcantara_13_%28cropped%29.jpg/220px-UEFA_EURO_qualifiers_Sweden_vs_Spain_20191015_Thiago_Alcantara_13_%28cropped%29.jpg
Keylor Navas,Keylor Navas,https://en.wikipedia.org/wiki/Keylor_Navas,//upload.wikimedia.org/wikipedia/commons/thumb/c/c3/Liver-RM_%288%29_%28cropped%29.jpg/220px-Liver-RM_%288%29_%28cropped%29.jpg
Francisco Román Alarcón Suárez,Isco,https://en.wikipedia.org/wiki/Isco,//upload.wikimedia.org/wikipedia/commons/thumb/3/32/Liver-RM_%285%29_%28cropped%29.jpg/220px-Liver-RM_%285%29_%28cropped%29.jpg
James David Rodríguez Rubio,James Rodríguez,https://en.wikipedia.org/wiki/James_Rodr%C3%ADguez,//upload.wikimedia.org/wikipedia/commons/thumb/7/79/James_Rodriguez_2018.jpg/220px-James_Rodriguez_2018.jpg
Kepa Arrizabalaga,Kepa Arrizabalaga,https://en.wikipedia.org/wiki/Kepa_Arrizabalaga,//upload.wikimedia.org/wikipedia/commons/thumb/8/89/Kepa_Arrizabalaga_2021_%28cropped%29.jpg/220px-Kepa_Arrizabalaga_2021_%28cropped%29.jpg
Fábio Henrique Tavares,"Fabinho (footballer, born 1993)","https://en.wikipedia.org/wiki/Fabinho_(footballer,_born_1993)",//upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Fabinho_%2843934382122%29_%28cropped%29.jpg/220px-Fabinho_%2843934382122%29_%28cropped%29.jpg
Anthony Martial,Anthony Martial,https://en.wikipedia.org/wiki/Anthony_Martial,//upload.wikimedia.org/wikipedia/commons/thumb/8/88/Anthony_Martial_27_September_2017_cropped.jpg/220px-Anthony_Martial_27_September_2017_cropped.jpg
Timo Werner,Timo Werner,https://en.wikipedia.org/wiki/Timo_Werner,//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3684_by_Stepro.jpg/220px-2020-03-10_Fu%C3%9Fball%2C_M%C3%A4nner%2C_UEFA_Champions_League_Achtelfinale%2C_RB_Leipzig_-_Tottenham_Hotspur_1DX_3684_by_Stepro.jpg
